provincia,1895,1914,1937,1946,1953,1965,1975,1986,1993,2004
Buenos Aires,24.63,29.04,27.18,28.02,31.47,37.57,32.21,39.14,34.39,32.95
Capital Federal,22.27,25.87,31.71,33.77,30.02,24.97,27.61,23.56,23.94,20.65
Catamarca,0.91,0.58,0.29,0.35,0.32,0.27,0.4,0.39,0.53,0.85
Chaco,0.29,0.46,1.22,1.44,1.78,1.62,1.14,0.89,1.26,1.3
Chubut,0.07,0.29,1.15,1.04,0.95,0.88,1.46,1.61,1.3,2.23
Córdoba,6.95,8.61,8.89,6.56,6.57,7.77,6.56,7.11,7.92,7.84
Corrientes,3.68,2.67,1.78,1.69,1.4,1.26,1.32,1.09,1.35,1.18
Entre Ríos,6.72,4.25,3.14,2.79,2.88,2.21,2.33,1.66,2.17,2.43
Formosa,0.15,0.22,0.46,0.44,0.47,0.35,0.54,0.3,0.59,0.51
Jujuy,0.77,0.87,0.63,0.69,0.83,0.64,1.04,0.69,0.87,0.84
La Pampa,0.63,1.5,1.25,1.02,0.95,0.97,0.6,1.03,0.85,0.88
La Rioja,0.8,0.74,0.27,0.3,0.28,0.21,0.38,0.51,0.53,0.58
Mendoza,3.49,2.93,2.44,3.65,3.88,3.83,4.44,2.64,3.9,3.92
Misiones,0.64,0.3,0.61,0.91,0.82,0.8,1.5,1.34,1.35,1.25
Neuquén,0.14,0.26,0.36,0.39,0.35,0.37,1.06,0.98,1.7,3.11
Río Negro,0.18,0.5,0.58,0.74,0.93,0.94,1.29,1.48,1.42,1.34
Salta,1.79,1.15,1.12,1.07,1.14,1.25,1.36,1.5,1.47,1.75
San Juan,2.55,0.97,0.74,1.31,1.14,1.17,0.98,0.94,1.09,1.1
San Luis,0.96,1.35,0.56,0.48,0.51,0.53,0.45,1.08,1.02,1.07
Santa Cruz,0.05,0.26,0.37,0.43,0.47,0.89,0.65,0.74,0.95,1.71
Santa Fe,14.03,12.7,11.82,9.6,9.13,9.2,8.53,8.21,7.86,8.82
Santiago del Estero,1.72,1.43,1.02,1.07,1.09,0.69,1.02,0.6,0.91,1.17
Tierra del Fuego,0.02,0.06,0.08,0.08,0.1,0.12,0.21,0.75,0.66,0.8
Tucumán,6.59,2.99,2.34,2.17,2.49,1.46,2.92,1.76,1.99,1.74
