"sector_de_actividad_económica","anio","vab_pb","provincia"
"Agricultura, ganaderia, caza y servicios conexos","2004","176187555.99681","CABA"
"Silvicultura, extracción de madera y servicios conexos","2004","199687.81148","CABA"
"Pesca","2004","37171341.96279","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2004","696950010.59802","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2004","112651345.95956","CABA"
"Elaboración de productos alimenticios y bebidas","2004","2432826396.28084","CABA"
"Elaboración de productos de tabaco","2004","78239444.35893","CABA"
"Fabricación de productos textiles","2004","544426142.16755","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2004","1110273514.55349","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2004","260253254.24843","CABA"
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","2004","143976682.84693","CABA"
"Fabricación de papel y de  productos de papel","2004","340743707.81887","CABA"
"Edición e impresión; reproducción de grabaciones","2004","1802191516.55269","CABA"
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","2004","442965302.80202","CABA"
"Fabricación de sustancias y productos químicos","2004","2687067187.66253","CABA"
"Fabricación de productos de caucho y plástico","2004","438374260.89403","CABA"
"Fabricación de productos minerales no metálicos","2004","205417907.52311","CABA"
"Fabricación de metales comunes","2004","356645307.83798","CABA"
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","2004","508815786.25387","CABA"
"Fabricación de maquinaria y equipo n.c.p.","2004","595494510.37613","CABA"
"Fabricación de maquinaria de oficina, contabilidad e informática","2004","179610678.72614","CABA"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2004","271063024.03572","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2004","99858162.48468","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2004","151218165.59552","CABA"
"Fabricación de vehículos automotores, remolques y semirremolques","2004","289455743.04227","CABA"
"Fabricación de equipo de transporte n.c.p.","2004","66770693.18365","CABA"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2004","534161587.69890","CABA"
"Reciclamiento","2004","7160131.58691","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2004","217667497.42094","CABA"
"Generación captación y distribución de energía eléctrica","2004","913359423.34320","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2004","281080470.41964","CABA"
"Captación , depuración y distribución de agua","2004","373792024.01588","CABA"
"Construcción","2004","2740794213.22777","CABA"
"Comercio mayorista, minorista y reparaciones","2004","12780194106.75528","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2004","581279579.73502","CABA"
"Restaurantes, bares y cantinas","2004","2165502113.13494","CABA"
"Transporte","2004","4497656825.62884","CABA"
"Comunicaciones","2004","4082524177.37044","CABA"
"Intermediación financiera y otros servicios financieros","2004","5842335409.07778","CABA"
"Servicios de seguros","2004","1747436559.91139","CABA"
"Servicios auxiliares a la actividad financiera","2004","805650590.11535","CABA"
"Propiedad de la vivienda","2004","4923130070.11051","CABA"
"Resto","2004","12791590225.07144","CABA"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2004","4789856040.33968","CABA"
"Enseñanza pública","2004","1276434587.05343","CABA"
"Enseñanza privada","2004","1260700782.30253","CABA"
"Salud pública","2004","930987140.41409","CABA"
"Salud privada","2004","2861372690.95507","CABA"
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","2004","601195373.13197","CABA"
"Asociaciones","2004","1535474393.03281","CABA"
"Servicios culturales y deportivos. Otras actividades","2004","2219268828.76747","CABA"
"Servicio doméstico","2004","917486827.59661","CABA"
"Agricultura, ganaderia, caza y servicios conexos","2005","188462042.50494","CABA"
"Silvicultura, extracción de madera y servicios conexos","2005","169236.28980","CABA"
"Pesca","2005","36583191.46546","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2005","693322662.49454","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2005","139955007.21026","CABA"
"Elaboración de productos alimenticios y bebidas","2005","2545598889.32342","CABA"
"Elaboración de productos de tabaco","2005","75378737.64412","CABA"
"Fabricación de productos textiles","2005","638696896.53527","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2005","1340206438.51771","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2005","281971642.00434","CABA"
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","2005","144303431.95350","CABA"
"Fabricación de papel y de  productos de papel","2005","408058252.52422","CABA"
"Edición e impresión; reproducción de grabaciones","2005","1927353430.37645","CABA"
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","2005","438867495.56495","CABA"
"Fabricación de sustancias y productos químicos","2005","2696259607.84113","CABA"
"Fabricación de productos de caucho y plástico","2005","439130174.07824","CABA"
"Fabricación de productos minerales no metálicos","2005","244249372.28230","CABA"
"Fabricación de metales comunes","2005","413300482.01851","CABA"
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","2005","561241189.93776","CABA"
"Fabricación de maquinaria y equipo n.c.p.","2005","666642626.40838","CABA"
"Fabricación de maquinaria de oficina, contabilidad e informática","2005","179860036.89265","CABA"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2005","290512322.37856","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2005","128641628.30098","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2005","183450114.13511","CABA"
"Fabricación de vehículos automotores, remolques y semirremolques","2005","337616915.13189","CABA"
"Fabricación de equipo de transporte n.c.p.","2005","73461806.06725","CABA"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2005","575966588.48412","CABA"
"Reciclamiento","2005","8939985.09283","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2005","226313962.93017","CABA"
"Generación captación y distribución de energía eléctrica","2005","984008472.20128","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2005","272106447.87668","CABA"
"Captación , depuración y distribución de agua","2005","385560887.80932","CABA"
"Construcción","2005","3095624436.07773","CABA"
"Comercio mayorista, minorista y reparaciones","2005","14004821981.15475","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2005","599451212.52513","CABA"
"Restaurantes, bares y cantinas","2005","2339132727.15095","CABA"
"Transporte","2005","4971232430.39631","CABA"
"Comunicaciones","2005","5059238525.39704","CABA"
"Intermediación financiera y otros servicios financieros","2005","6390419039.00338","CABA"
"Servicios de seguros","2005","1955038000.47873","CABA"
"Servicios auxiliares a la actividad financiera","2005","838191877.69980","CABA"
"Propiedad de la vivienda","2005","4997947098.79689","CABA"
"Resto","2005","13838592382.73877","CABA"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2005","5108664529.71663","CABA"
