"anio","provincia","poblacion"
"1869","CABA","187346.00000"
"1870","CABA","197804.10792"
"1871","CABA","208755.40336"
"1872","CABA","220219.95497"
"1873","CABA","232218.47217"
"1874","CABA","244772.31216"
"1875","CABA","257903.48630"
"1876","CABA","271634.66591"
"1877","CABA","285989.18736"
"1878","CABA","300991.05652"
"1879","CABA","316664.95230"
"1880","CABA","333036.22938"
"1881","CABA","350130.91992"
"1882","CABA","367975.73422"
"1883","CABA","386598.06022"
"1884","CABA","406025.96174"
"1885","CABA","426288.17524"
"1886","CABA","447414.10515"
"1887","CABA","469433.81741"
"1888","CABA","492378.03133"
"1889","CABA","516278.10926"
"1890","CABA","541166.04422"
"1891","CABA","567074.44511"
"1892","CABA","594036.51921"
"1893","CABA","622086.05203"
"1894","CABA","651257.38387"
"1895","CABA","678978.17291"
"1896","CABA","707652.97812"
"1897","CABA","736586.66760"
"1898","CABA","766567.50057"
"1899","CABA","797627.58794"
"1900","CABA","829799.77581"
"1901","CABA","861788.88405"
"1902","CABA","894853.90673"
"1903","CABA","929024.54133"
"1904","CABA","964331.01656"
"1905","CABA","1000804.08286"
"1906","CABA","1056709.04081"
"1907","CABA","1115541.83004"
"1908","CABA","1177444.35079"
"1909","CABA","1242564.66249"
"1910","CABA","1311057.19641"
"1911","CABA","1374587.67973"
"1912","CABA","1440943.98838"
"1913","CABA","1510238.19312"
"1914","CABA","1582585.96927"
"1915","CABA","1643904.68058"
"1916","CABA","1670294.60552"
"1917","CABA","1697049.23140"
"1918","CABA","1724170.93818"
"1919","CABA","1751661.96334"
"1920","CABA","1779524.39041"
"1921","CABA","1831172.90463"
"1922","CABA","1884245.59274"
"1923","CABA","1938777.27292"
"1924","CABA","1994803.31549"
"1925","CABA","2052359.62889"
"1926","CABA","2105293.90701"
"1927","CABA","2159494.50162"
"1928","CABA","2214985.94880"
"1929","CABA","2271792.87827"
"1930","CABA","2329939.98276"
"1931","CABA","2369063.98466"
"1932","CABA","2408716.70857"
"1933","CABA","2448898.67288"
"1934","CABA","2489609.95342"
"1935","CABA","2530850.15408"
"1936","CABA","2565093.99468"
"1937","CABA","2599639.38523"
"1938","CABA","2634480.75391"
"1939","CABA","2669611.97917"
"1940","CABA","2705026.36246"
"1941","CABA","2740428.36773"
"1942","CABA","2776090.75703"
"1943","CABA","2812004.84803"
"1944","CABA","2848161.26775"
"1945","CABA","2884549.92168"
"1946","CABA","2943120.29243"
"1947","CABA","3002621.18631"
"1948","CABA","3021058.09509"
"1949","CABA","3038969.45349"
"1950","CABA","3056343.16016"
"1951","CABA","3067693.76810"
"1952","CABA","3075812.69755"
"1953","CABA","3081080.42588"
"1954","CABA","3083857.69031"
"1955","CABA","3084485.70917"
"1956","CABA","3082850.35523"
"1957","CABA","3078851.04582"
"1958","CABA","3072820.67588"
"1959","CABA","3065073.11611"
"1960","CABA","3055903.21444"
"1961","CABA","3059985.39171"
"1962","CABA","3062738.14811"
"1963","CABA","3064304.92486"
"1964","CABA","3064823.03873"
"1965","CABA","3064422.36976"
"1966","CABA","3062261.68946"
"1967","CABA","3058325.51908"
"1968","CABA","3053919.35807"
"1969","CABA","3050270.33838"
"1970","CABA","3048529.36572"
"1971","CABA","3039293.20923"
"1972","CABA","3031945.96038"
"1973","CABA","3025059.21569"
"1974","CABA","3017309.07474"
"1975","CABA","3007472.54276"
"1976","CABA","2995267.23755"
"1977","CABA","2981611.94617"
"1978","CABA","2967123.28485"
"1979","CABA","2952373.28358"
"1980","CABA","2937890.68603"
"1981","CABA","2945923.78765"
"1982","CABA","2954023.31736"
"1983","CABA","2961917.73010"
"1984","CABA","2969349.11957"
"1985","CABA","2976072.30355"
"1986","CABA","2982315.69127"
"1987","CABA","2988238.72662"
"1988","CABA","2993517.30403"
"1989","CABA","2997842.07231"
"1990","CABA","2995670.00000"
"1991","CABA","2995645.00000"
"1992","CABA","2995620.00000"
"1993","CABA","2995595.00000"
"1994","CABA","2995570.00000"
"1995","CABA","2995545.00000"
"1996","CABA","2995522.00000"
"1997","CABA","2995497.00000"
"1998","CABA","2995472.00000"
"1999","CABA","2995447.00000"
"2000","CABA","2995422.00000"
"2001","CABA","2995397.00000"
"2002","CABA","2999293.17662"
"2003","CABA","3003135.46183"
"2004","CABA","3006923.37200"
"2005","CABA","3010656.41669"
"2006","CABA","3014334.09857"
"2007","CABA","3017955.91323"
"2008","CABA","3021521.34899"
"2009","CABA","3025029.88679"
"2010","CABA","3028481.00000"
"2011","CABA","3033639.00000"
"2012","CABA","3038860.00000"
"2013","CABA","3044076.00000"
"2014","CABA","3049229.00000"
"2015","CABA","3054267.00000"
"2016","CABA","3059122.00000"
"2017","CABA","3063728.00000"
"2018","CABA","3068043.00000"
"1869","Buenos Aires","307761.00000"
"1870","Buenos Aires","322838.35376"
"1871","Buenos Aires","338507.42631"
"1872","Buenos Aires","354787.08552"
"1873","Buenos Aires","371696.57106"
"1874","Buenos Aires","389255.48377"
"1875","Buenos Aires","407483.77430"
"1876","Buenos Aires","426401.73076"
"1877","Buenos Aires","446029.96557"
"1878","Buenos Aires","466389.40128"
"1879","Buenos Aires","487501.25543"
"1880","Buenos Aires","509387.02425"
"1881","Buenos Aires","532068.46523"
"1882","Buenos Aires","555567.57845"
"1883","Buenos Aires","579906.58659"
"1884","Buenos Aires","605107.91348"
"1885","Buenos Aires","631194.16116"
"1886","Buenos Aires","658188.08527"
"1887","Buenos Aires","686112.56875"
"1888","Buenos Aires","714990.59358"
"1889","Buenos Aires","744845.21055"
"1890","Buenos Aires","775699.50684"
"1891","Buenos Aires","807576.57125"
"1892","Buenos Aires","840499.45696"
"1893","Buenos Aires","874491.14154"
"1894","Buenos Aires","909574.48406"
"1895","Buenos Aires","942154.39778"
"1896","Buenos Aires","979039.47154"
"1897","Buenos Aires","1016055.22326"
"1898","Buenos Aires","1054283.61799"
"1899","Buenos Aires","1093756.93164"
"1900","Buenos Aires","1134507.99593"
"1901","Buenos Aires","1174758.86831"
"1902","Buenos Aires","1216224.02760"
"1903","Buenos Aires","1258931.85712"
"1904","Buenos Aires","1302911.05417"
"1905","Buenos Aires","1348190.60977"
"1906","Buenos Aires","1419290.34664"
"1907","Buenos Aires","1493878.51751"
"1908","Buenos Aires","1572111.73240"
"1909","Buenos Aires","1654152.75739"
"1910","Buenos Aires","1740170.69108"
"1911","Buenos Aires","1819098.66196"
"1912","Buenos Aires","1901273.09769"
"1913","Buenos Aires","1986810.51193"
"1914","Buenos Aires","2075830.58915"
"1915","Buenos Aires","2162080.20366"
"1916","Buenos Aires","2202717.58473"
"1917","Buenos Aires","2244040.82599"
"1918","Buenos Aires","2286057.79081"
"1919","Buenos Aires","2328776.21112"
"1920","Buenos Aires","2372203.66991"
"1921","Buenos Aires","2447642.32337"
"1922","Buenos Aires","2525379.67483"
"1923","Buenos Aires","2605479.52609"
"1924","Buenos Aires","2688007.01713"
"1925","Buenos Aires","2773028.62098"
"1926","Buenos Aires","2852227.70723"
"1927","Buenos Aires","2933554.32768"
"1928","Buenos Aires","3017057.45349"
"1929","Buenos Aires","3102786.62544"
"1930","Buenos Aires","3190791.91655"
"1931","Buenos Aires","3253127.69944"
"1932","Buenos Aires","3316504.70956"
"1933","Buenos Aires","3380930.79384"
"1934","Buenos Aires","3446413.23046"
"1935","Buenos Aires","3512958.68013"
"1936","Buenos Aires","3570100.69203"
"1937","Buenos Aires","3627946.39419"
"1938","Buenos Aires","3686492.50785"
"1939","Buenos Aires","3745734.92110"
"1940","Buenos Aires","3805668.63964"
"1941","Buenos Aires","3865881.13047"
"1942","Buenos Aires","3926759.23453"
"1943","Buenos Aires","3988294.78596"
"1944","Buenos Aires","4050478.52403"
"1945","Buenos Aires","4113300.03496"
"1946","Buenos Aires","4208147.12233"
"1947","Buenos Aires","4304810.30298"
"1948","Buenos Aires","4488713.59081"
"1949","Buenos Aires","4679489.72629"
"1950","Buenos Aires","4877346.63893"
"1951","Buenos Aires","5073443.83600"
"1952","Buenos Aires","5271814.04940"
"1953","Buenos Aires","5472837.80462"
"1954","Buenos Aires","5676925.77418"
"1955","Buenos Aires","5884519.33909"
"1956","Buenos Aires","6095228.91673"
"1957","Buenos Aires","6308637.88841"
"1958","Buenos Aires","6525194.81958"
"1959","Buenos Aires","6745380.45679"
"1960","Buenos Aires","6969707.48209"
"1961","Buenos Aires","7161396.09676"
"1962","Buenos Aires","7355151.05053"
"1963","Buenos Aires","7551219.48095"
"1964","Buenos Aires","7749860.83857"
"1965","Buenos Aires","7951343.40976"
"1966","Buenos Aires","8153377.93809"
"1967","Buenos Aires","8355690.93052"
"1968","Buenos Aires","8561692.18776"
"1969","Buenos Aires","8774932.06245"
"1970","Buenos Aires","8999102.53478"
"1971","Buenos Aires","9181101.70597"
"1972","Buenos Aires","9372534.25802"
"1973","Buenos Aires","9569358.87187"
"1974","Buenos Aires","9767471.25471"
"1975","Buenos Aires","9962707.85470"
"1976","Buenos Aires","10153708.28012"
"1977","Buenos Aires","10343168.66664"
"1978","Buenos Aires","10532984.86514"
"1979","Buenos Aires","10725079.41032"
"1980","Buenos Aires","10921398.74180"
"1981","Buenos Aires","11084730.31098"
"1982","Buenos Aires","11250673.87635"
"1983","Buenos Aires","11418225.11914"
"1984","Buenos Aires","11586382.59210"
"1985","Buenos Aires","11754145.80591"
"1986","Buenos Aires","11922359.19140"
"1987","Buenos Aires","12091630.60083"
"1988","Buenos Aires","12260617.59277"
"1989","Buenos Aires","12427973.46360"
"1990","Buenos Aires","12591144.00000"
"1991","Buenos Aires","12746708.00000"
"1992","Buenos Aires","12903162.00000"
"1993","Buenos Aires","13057834.00000"
"1994","Buenos Aires","13209551.00000"
"1995","Buenos Aires","13357149.00000"
"1996","Buenos Aires","13500672.00000"
"1997","Buenos Aires","13640948.00000"
"1998","Buenos Aires","13777950.00000"
"1999","Buenos Aires","13911670.00000"
"2000","Buenos Aires","14042096.00000"
"2001","Buenos Aires","14167123.00000"
"2002","Buenos Aires","14332625.07979"
"2003","Buenos Aires","14499775.90757"
"2004","Buenos Aires","14668586.82397"
"2005","Buenos Aires","14839069.11729"
"2006","Buenos Aires","15011234.01837"
"2007","Buenos Aires","15185092.69521"
"2008","Buenos Aires","15360656.24741"
"2009","Buenos Aires","15537935.70051"
"2010","Buenos Aires","15716942.00000"
"2011","Buenos Aires","15909607.00000"
"2012","Buenos Aires","16100618.00000"
"2013","Buenos Aires","16289599.00000"
"2014","Buenos Aires","16476149.00000"
"2015","Buenos Aires","16659931.00000"
"2016","Buenos Aires","16841135.00000"
"2017","Buenos Aires","17020012.00000"
"2018","Buenos Aires","17196396.00000"
"1869","Catamarca","79962.00000"
"1870","Catamarca","80788.18901"
"1871","Catamarca","81587.50170"
"1872","Catamarca","82359.92110"
"1873","Catamarca","83105.42195"
"1874","Catamarca","83823.97062"
"1875","Catamarca","84515.52520"
"1876","Catamarca","85180.03583"
"1877","Catamarca","85817.44524"
"1878","Catamarca","86427.68937"
"1879","Catamarca","87010.69817"
"1880","Catamarca","87566.39647"
"1881","Catamarca","88094.70489"
"1882","Catamarca","88595.54087"
"1883","Catamarca","89068.81965"
"1884","Catamarca","89514.45529"
"1885","Catamarca","89932.36172"
"1886","Catamarca","90322.45372"
"1887","Catamarca","90684.64792"
"1888","Catamarca","91018.86372"
"1889","Catamarca","91325.02418"
"1890","Catamarca","91603.05690"
"1891","Catamarca","91852.89475"
"1892","Catamarca","92074.47663"
"1893","Catamarca","92267.74812"
"1894","Catamarca","92432.66203"
"1895","Catamarca","92215.08200"
"1896","Catamarca","92373.93019"
"1897","Catamarca","92413.59737"
"1898","Catamarca","92436.89843"
"1899","Catamarca","92443.85938"
"1900","Catamarca","92434.51232"
"1901","Catamarca","92266.63214"
"1902","Catamarca","92082.87251"
"1903","Catamarca","91883.35536"
"1904","Catamarca","91668.20656"
"1905","Catamarca","91437.55550"
"1906","Catamarca","92792.71915"
"1907","Catamarca","94151.50738"
"1908","Catamarca","95513.49733"
"1909","Catamarca","96878.25223"
"1910","Catamarca","98245.32076"
"1911","Catamarca","99002.37719"
"1912","Catamarca","99747.77447"
"1913","Catamarca","100481.12847"
"1914","Catamarca","101202.04893"
"1915","Catamarca","104303.11787"
"1916","Catamarca","105150.75654"
"1917","Catamarca","106001.60207"
"1918","Catamarca","106855.52262"
"1919","Catamarca","107712.37854"
"1920","Catamarca","108572.02201"
"1921","Catamarca","110851.60850"
"1922","Catamarca","113174.56094"
"1923","Catamarca","115541.47164"
"1924","Catamarca","117952.92651"
"1925","Catamarca","120409.50386"
"1926","Catamarca","122551.51988"
"1927","Catamarca","124725.92552"
"1928","Catamarca","126932.92055"
"1929","Catamarca","129172.68751"
"1930","Catamarca","131445.39029"
"1931","Catamarca","132609.94078"
"1932","Catamarca","133777.68625"
"1933","Catamarca","134948.30546"
"1934","Catamarca","136121.45911"
"1935","Catamarca","137296.78918"
"1936","Catamarca","138068.91024"
"1937","Catamarca","138836.73300"
"1938","Catamarca","139599.85664"
"1939","Catamarca","140357.86356"
"1940","Catamarca","141110.31882"
"1941","Catamarca","141841.85101"
"1942","Catamarca","142566.75356"
"1943","Catamarca","143284.53865"
"1944","Catamarca","143994.69930"
"1945","Catamarca","144696.70883"
"1946","Catamarca","146483.01531"
"1947","Catamarca","148278.59669"
"1948","Catamarca","150784.71429"
"1949","Catamarca","153300.96665"
"1950","Catamarca","155826.38332"
"1951","Catamarca","158077.91486"
"1952","Catamarca","160191.47419"
"1953","Catamarca","162182.07983"
"1954","Catamarca","164064.44633"
"1955","Catamarca","165852.96086"
"1956","Catamarca","167537.96222"
"1957","Catamarca","169110.19137"
"1958","Catamarca","170584.13478"
"1959","Catamarca","171973.91479"
"1960","Catamarca","173293.25211"
"1961","Catamarca","173908.18766"
"1962","Catamarca","174449.27279"
"1963","Catamarca","174924.19903"
"1964","Catamarca","175340.37773"
"1965","Catamarca","175704.86131"
"1966","Catamarca","175968.96273"
"1967","Catamarca","176131.12166"
"1968","Catamarca","176266.01109"
"1969","Catamarca","176444.43385"
"1970","Catamarca","176733.40029"
"1971","Catamarca","179822.85495"
"1972","Catamarca","183078.68464"
"1973","Catamarca","186420.74783"
"1974","Catamarca","189768.53405"
"1975","Catamarca","193041.24648"
"1976","Catamarca","196213.12590"
"1977","Catamarca","199336.87181"
"1978","Catamarca","202449.23914"
"1979","Catamarca","205587.10083"
"1980","Catamarca","208787.39045"
"1981","Catamarca","213707.96938"
"1982","Catamarca","218747.80616"
"1983","Catamarca","223889.30858"
"1984","Catamarca","229114.30350"
"1985","Catamarca","234403.98740"
"1986","Catamarca","239775.99788"
"1987","Catamarca","245243.75659"
