"anio","pib_pm"
"1809","1157150753.62256"
"1810","1175043607.00130"
"1811","1174878619.28812"
"1812","1188507234.50169"
"1813","1208059222.52516"
"1814","1230808874.42829"
"1815","1242140176.05348"
"1816","1271265642.11921"
"1817","1281029446.68756"
"1818","1293146481.71655"
"1819","1313647419.15592"
"1820","1335782581.33517"
"1821","1359573801.61936"
"1822","1383697796.57076"
"1823","1408237972.41507"
"1824","1427736570.42365"
"1825","1441655832.01366"
"1826","1440527780.46115"
"1827","1474092720.67056"
"1828","1538933743.52054"
"1829","1553621530.42121"
"1830","1585443347.91324"
"1831","1601441350.11090"
"1832","1620261415.73446"
"1833","1653835407.71365"
"1834","1689547405.32219"
"1835","1711074640.39141"
"1836","1735730168.32103"
"1837","1731011030.84679"
"1838","1740112733.52528"
"1839","1857757199.60289"
"1840","1946285010.50362"
"1841","2001529808.83175"
"1842","2054871632.13033"
"1843","2039910406.30617"
"1844","2053813780.85815"
"1845","2001450367.98752"
"1846","2095407259.28234"
"1847","2191563278.99655"
"1848","2368199311.98441"
"1849","2342586685.35020"
"1850","2452059714.10204"
"1851","2455803158.22004"
"1852","2404692576.62967"
"1853","2526976114.52086"
"1854","2489679076.02760"
"1855","2551679134.96524"
"1856","2654626990.68983"
"1857","2652719647.10306"
"1858","2753228740.63217"
"1859","2929806638.45355"
"1860","2920218031.92499"
"1861","2957406074.27174"
"1862","3114183952.75706"
"1863","3248395371.83449"
"1864","3559483196.69992"
"1865","3734626312.22724"
"1866","3990367418.89149"
"1867","4095789872.55223"
"1868","4249357001.52034"
"1869","4479685272.39917"
"1870","4483361906.56134"
"1871","4869445832.55442"
"1872","5129944644.37295"
"1873","5101448596.40344"
"1875","5414185267.50616"
"1876","5530278908.71975"
"1877","6100193147.40460"
"1878","5794128093.29607"
"1879","6047423310.48934"
"1880","5931329669.27576"
"1881","6026315375.72324"
"1882","7588302548.41507"
"1883","8506497710.74068"
"1884","9108073851.57470"
"1885","10680614991.64959"
"1886","10722830861.18180"
"1887","11451054610.61245"
"1888","13287444935.26367"
"1889","14575028955.99613"
"1890","13371876674.32809"
"1891","12654206892.28049"
"1892","15113281292.53183"
"1893","16010368520.09134"
"1894","18458888952.95963"
"1895","20464142755.73969"
"1896","22638260036.64859"
"1897","18363903246.51215"
"1898","19915336451.82093"
"1899","23429807590.37756"
"1900","20675222103.40075"
"1901","22423567144.92970"
"1902","21971673696.30365"
"1903","25115184919.02760"
"1904","27793640748.01989"
"1905","31483372692.62679"
"1906","33067193420.33559"
"1907","33764776510.93309"
"1908","37072812047.47722"
"1909","38902322417.15746"
"1910","41732140614.86430"
"1911","42482371485.88425"
"1912","45952737678.73093"
"1913","46430955017.56821"
"1914","41622457738.98418"
"1915","41841823490.74440"
"1916","40637505513.58080"
"1917","37344825579.65989"
"1918","44191230692.09637"
"1919","45816730912.63961"
"1920","49151090339.39496"
"1921","50408056096.98103"
"1922","54439998614.33389"
"1923","60437458267.45831"
"1924","65151628272.78544"
"1925","64879614740.60278"
"1926","68007770360.70352"
"1927","72831623241.91077"
"1928","77341783098.10089"
"1929","80906476564.20448"
"1930","77558955192.34352"
"1931","72175719644.14772"
"1932","69784632949.96130"
"1933","73064150938.77661"
"1934","78831276552.55281"
"1935","82259963252.56505"
"1936","82944384398.05692"
"1937","88955005996.28697"
"1938","89229213185.98726"
"1939","92644737940.89391"
"1940","94147393340.45140"
"1941","99067767152.43314"
"1942","100160208596.19902"
"1943","99477981108.22473"
"1944","110683183708.13678"
"1945","107129458529.62120"
"1946","116695998963.88443"
"1947","129675870495.53664"
"1948","136781127195.05019"
"1949","135006458263.31003"
"1950","136645120428.95888"
"1951","141957137291.97675"
"1952","134812329869.61382"
"1953","141957137291.97675"
"1954","147817362979.75424"
"1955","158258660430.87012"
"1956","162655186649.23978"
"1957","171080957266.09064"
"1958","181522254717.20645"
"1959","169798184801.55399"
"1960","183170499731.58295"
"1961","196175532841.72339"
"1962","193061779087.89044"
"1963","188482516594.60086"
"1964","207897793487.32721"
"1965","226947597830.21378"
"1966","228413106569.67032"
"1967","234457877802.41647"
"1968","244531893433.64374"
"1969","265412679065.82669"
"1970","279700484640.50372"
"1971","290222922383.94556"
"1972","296250771451.75787"
"1973","307346986472.93958"
"1974","323961026315.05377"
"1975","322038872434.62500"
"1976","322000620616.10895"
"1977","342564160719.99963"
"1978","331525323426.59180"
"1979","354521041657.79132"
"1980","359945627671.09094"
"1981","341046114424.03363"
"1982","329577284786.37769"
"1983","343330770712.69281"
"1984","350103524563.06818"
"1985","325988241232.79663"
"1986","348867843400.16211"
"1987","358180740044.31677"
"1988","351917339016.34344"
"1989","327497093558.56464"
"1990","320579778088.35150"
"1991","354459217987.96759"
"1992","389173594509.59369"
"1993","411107471959.86694"
"1994","435282158427.06842"
"1995","423238314405.01038"
"1996","446076159924.70087"
"1997","482284338812.16840"
"1998","501390891784.60382"
"1999","484283927798.79425"
"2000","480578041210.97723"
"2001","460103370384.46069"
"2002","409152591453.18921"
"2003","444941041354.95654"
"2004","485115195206.34521"
"2005","528055942503.41425"
"2006","570549404220.73145"
"2007","621942502646.09070"
"2008","647176159741.21155"
"2009","608872876412.87439"
"2010","670523679441.79834"
"2011","710781597220.60132"
"2012","703485989458.94885"
"2013","720407105302.81506"
"2014","702306045963.36523"
"2015","721487146638.03967"
"2016","706477848597.66199"
"2017","725330848522.00256"
"2018","707091754390.64587"
