"provincia","anio","vab_pb","pob_total","vab_pb_per_capita"
"Buenos Aires","1895","4158050899.65885","942154.39778","4413.34341"
"Buenos Aires","1914","9971400633.42666","2075830.58915","4803.57149"
"Buenos Aires","1937","19945810032.99823","3627946.39419","5497.82380"
"Buenos Aires","1946","26974656921.21735","4208147.12233","6410.10310"
"Buenos Aires","1953","36854099874.25189","5472837.80462","6734.00185"
"Buenos Aires","1965","70339393296.25505","7951343.40976","8846.22757"
"Buenos Aires","1975","85571836939.72672","9962707.85470","8589.21472"
"Buenos Aires","1986","112645434525.81856","11922359.19140","9448.25036"
"Buenos Aires","1993","116632444690.72903","13057834.00000","8931.99015"
"Buenos Aires","2004","131865786636.82149","14668586.82397","8989.67216"
"Buenos Aires","2005","144239001615.44168","14839069.11729","9720.21900"
"Buenos Aires","2006","154667803982.07773","15011234.01837","10303.47031"
"Buenos Aires","2007","165764354198.73721","15185092.69521","10916.25567"
"Buenos Aires","2008","173660630630.80600","15360656.24741","11305.54762"
"Buenos Aires","2009","162677777999.56729","15537935.70051","10469.71626"
"Buenos Aires","2010","182196421748.32983","15716942.00000","11592.35822"
"Buenos Aires","2011","193596883917.49249","15909607.00000","12168.55224"
"Buenos Aires","2012","192649041014.26224","16100618.00000","11965.31966"
"Buenos Aires","2013","196324761025.30014","16289599.00000","12052.15432"
"Buenos Aires","2014","189466135568.55405","16476149.00000","11499.41868"
"Buenos Aires","2015","195435292080.85153","16659931.00000","11730.85843"
"Buenos Aires","2016","191324344063.33215","16841135.00000","11360.53740"
"Buenos Aires","2017","196195454568.28888","17020012.00000","11527.33938"
"Buenos Aires","2018","189876093874.81918","17196396.00000","11041.62139"
"Buenos Aires","2019","185100148711.97382","17370144.00000","10656.22419"
"Buenos Aires","2020","167866007137.25381","17541141.00000","9569.84538"
"Buenos Aires","2021","186661141590.37366","17709598.00000","10540.11173"
"Buenos Aires","2022","196714602621.07568","17875743.00000","11004.55531"
"Buenos Aires","2023","193076175307.22104","18039509.00000","10702.96178"
"CABA","1895","3899104045.47351","678978.17291","5742.60588"
"CABA","1914","9212451197.50949","1582585.96927","5821.13792"
"CABA","1937","24133354134.06371","2599639.38523","9283.34686"
"CABA","1946","33716157755.98938","2943120.29243","11455.92242"
"CABA","1953","36460193665.84306","3081080.42588","11833.57414"
"CABA","1965","48483636116.31715","3064422.36976","15821.46006"
"CABA","1975","76072161166.04477","3007472.54276","25294.38260"
"CABA","1986","70321362566.95435","2982315.69127","23579.44961"
"CABA","1993","84203582022.98270","2995595.00000","28109.13425"
"CABA","2004","85706938999.79190","3006923.37200","28503.20025"
"CABA","2005","93498593664.34540","3010656.41669","31055.88308"
"CABA","2006","101670212874.60959","3014334.09857","33728.91310"
"CABA","2007","112133303076.28751","3017955.91323","37155.38142"
"CABA","2008","117261871114.75743","3021521.34899","38808.88386"
"CABA","2009","114087178565.70992","3025029.88679","37714.39716"
"CABA","2010","120846765384.38483","3028481.00000","39903.42531"
"CABA","2011","126825757986.64685","3033639.00000","41806.47664"
"CABA","2012","124949919864.71323","3038860.00000","41117.36634"
"CABA","2013","125041896576.72440","3044076.00000","41077.12704"
"CABA","2014","122464180371.86574","3049229.00000","40162.34280"
"CABA","2015","124247152353.41592","3054267.00000","40679.85947"
"CABA","2016","123199881431.68149","3059122.00000","40272.95460"
"CABA","2017","125973652127.23705","3063728.00000","41117.76637"
"CABA","2018","124075627185.06567","3068043.00000","40441.29342"
"CABA","2019","118237390234.74115","3072029.00000","38488.37047"
"CABA","2020","103834724852.34474","3075646.00000","33760.29779"
"CABA","2021","113402664487.13226","3078836.00000","36832.96690"
"CABA","2022","119077261827.46655","3081550.00000","38642.00218"
"CABA","2023","119523878126.15675","3083770.00000","38759.01190"
"Catamarca","1895","174232343.22068","92215.08200","1889.41266"
"Catamarca","1914","225865314.64432","101202.04893","2231.82551"
"Catamarca","1937","241358289.61057","138836.73300","1738.43251"
"Catamarca","1946","382135899.22479","146483.01531","2608.73862"
"Catamarca","1953","425011850.41155","162182.07983","2620.58454"
"Catamarca","1965","573301638.17137","175704.86131","3262.86725"
"Catamarca","1975","1205208308.72681","193041.24648","6243.26837"
"Catamarca","1986","1272973538.33849","239775.99788","5309.01153"
"Catamarca","1993","2038567368.72450","283011.00000","7203.13828"
"Catamarca","2004","3857959216.24612","349319.05151","11044.22790"
"Catamarca","2005","4349611880.72425","353910.57872","12290.14373"
"Catamarca","2006","4585240731.50482","358555.32129","12788.09840"
"Catamarca","2007","4733582140.96317","363253.75658","13031.06177"
"Catamarca","2008","4554030600.46280","368006.36251","12374.86920"
