sector_de_actividad_económica,anio,vab_pb,provincia
"Agricultura, ganaderia, caza y servicios conexos",2004,176.18755599680898,CABA
"Silvicultura, extracción de madera y servicios conexos",2004,0.19968781147607367,CABA
Pesca,2004,37.17134196279472,CABA
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.",2004,696.9500105980194,CABA
Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.,2004,112.65134595955848,CABA
Elaboración de productos alimenticios y bebidas,2004,2432.8263962808383,CABA
Elaboración de productos de tabaco,2004,78.23944435893144,CABA
Fabricación de productos textiles,2004,544.426142167551,CABA
Fabricación de prendas de vestir; terminación y teñido de pieles,2004,1110.2735145534857,CABA
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes",2004,260.2532542484287,CABA
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2004,143.9766828469288,CABA
Fabricación de papel y de  productos de papel,2004,340.74370781887416,CABA
Edición e impresión; reproducción de grabaciones,2004,1802.1915165526877,CABA
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear",2004,442.9653028020192,CABA
Fabricación de sustancias y productos químicos,2004,2687.067187662527,CABA
Fabricación de productos de caucho y plástico,2004,438.3742608940264,CABA
Fabricación de productos minerales no metálicos,2004,205.4179075231136,CABA
Fabricación de metales comunes,2004,356.6453078379769,CABA
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2004,508.8157862538666,CABA
Fabricación de maquinaria y equipo n.c.p.,2004,595.4945103761256,CABA
"Fabricación de maquinaria de oficina, contabilidad e informática",2004,179.61067872614308,CABA
Fabricación de maquinaria y aparatos eléctricos  n.c.p.,2004,271.06302403571533,CABA
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones",2004,99.85816248468278,CABA
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes",2004,151.2181655955202,CABA
"Fabricación de vehículos automotores, remolques y semirremolques",2004,289.45574304226653,CABA
Fabricación de equipo de transporte n.c.p.,2004,66.77069318364902,CABA
Fabricación de muebles y colchones; industrias manufactureras n.c.p.,2004,534.1615876989031,CABA
Reciclamiento,2004,7.1601315869089674,CABA
"Reparación, mantenimiento e instalación de maquinas y equipos",2004,217.6674974209429,CABA
Generación captación y distribución de energía eléctrica,2004,913.3594233431951,CABA
Fabricación de gas ; distribución de combustibles gaseosos por tuberías,2004,281.08047041964437,CABA
"Captación , depuración y distribución de agua",2004,373.79202401588054,CABA
Construcción,2004,2740.794213227771,CABA
"Comercio mayorista, minorista y reparaciones",2004,12780.194106755276,CABA
Hoteles; campamentos y otros tipos de hospedaje temporal,2004,581.2795797350174,CABA
"Restaurantes, bares y cantinas",2004,2165.502113134945,CABA
Transporte,2004,4497.6568256288365,CABA
Comunicaciones,2004,4082.524177370442,CABA
Intermediación financiera y otros servicios financieros,2004,5842.335409077777,CABA
Servicios de seguros,2004,1747.4365599113858,CABA
Servicios auxiliares a la actividad financiera,2004,805.650590115353,CABA
Propiedad de la vivienda,2004,4923.130070110511,CABA
Resto,2004,12791.590225071443,CABA
Administración pública y defensa; Planes de seguridad social de afiliación obligatoria,2004,4789.8560403396805,CABA
Enseñanza pública,2004,1276.4345870534319,CABA
Enseñanza privada,2004,1260.7007823025283,CABA
Salud pública,2004,930.9871404140886,CABA
Salud privada,2004,2861.372690955068,CABA
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",2004,601.1953731319683,CABA
Asociaciones,2004,1535.474393032809,CABA
Servicios culturales y deportivos. Otras actividades,2004,2219.2688287674678,CABA
Servicio doméstico,2004,917.4868275966137,CABA
"Agricultura, ganaderia, caza y servicios conexos",2005,188.4620425049427,CABA
