anio,pib_pm
1809,1157.150753622562
1810,1175.0436070012972
1811,1174.8786192881246
1812,1188.507234501686
1813,1208.059222525162
1814,1230.8088744282938
1815,1242.1401760534775
1816,1271.2656421192114
1817,1281.0294466875566
1818,1293.146481716551
1819,1313.6474191559173
1820,1335.7825813351674
1821,1359.5738016193566
1822,1383.697796570755
1823,1408.2379724150662
1824,1427.736570423651
1825,1441.655832013657
1826,1440.527780461147
1827,1474.092720670556
1828,1538.9337435205427
1829,1553.6215304212083
1830,1585.4433479132413
1831,1601.4413501109048
1832,1620.2614157344583
1833,1653.835407713651
1834,1689.5474053221944
1835,1711.0746403914059
1836,1735.7301683210326
1837,1731.011030846794
1838,1740.1127335252838
1839,1857.7571996028853
1840,1946.2850105036184
1841,2001.529808831754
1842,2054.8716321303345
1843,2039.9104063061743
1844,2053.813780858149
1845,2001.4503679875243
1846,2095.407259282339
1847,2191.5632789965453
1848,2368.1993119844137
1849,2342.586685350205
1850,2452.059714102036
1851,2455.8031582200383
1852,2404.692576629673
1853,2526.9761145208563
1854,2489.679076027599
1855,2551.6791349652385
1856,2654.6269906898315
1857,2652.7196471030597
1858,2753.2287406321666
1859,2929.806638453547
1860,2920.218031924994
1861,2957.4060742717356
1862,3114.1839527570596
1863,3248.3953718344937
1864,3559.4831966999172
1865,3734.6263122272353
1866,3990.3674188914874
1867,4095.789872552226
1868,4249.357001520344
1869,4479.685272399173
1870,4483.3619065613375
1871,4869.445832554417
1872,5129.944644372951
1873,5101.448596403442
1875,5414.185267506163
1876,5530.278908719745
1877,6100.193147404605
1878,5794.12809329607
1879,6047.423310489341
1880,5931.329669275759
1881,6026.315375723235
1882,7588.302548415072
1883,8506.497710740678
1884,9108.073851574696
1885,10680.614991649585
1886,10722.830861181797
1887,11451.054610612453
1888,13287.444935263668
1889,14575.028955996127
1890,13371.876674328094
1891,12654.206892280494
1892,15113.281292531834
1893,16010.368520091337
1894,18458.888952959624
1895,20464.142755739686
1896,22638.260036648593
1897,18363.903246512145
1898,19915.33645182093
1899,23429.807590377564
1900,20675.222103400745
1901,22423.5671449297
1902,21971.67369630365
1903,25115.184919027604
1904,27793.64074801989
1905,31483.372692626792
1906,33067.193420335585
1907,33764.77651093309
1908,37072.812047477215
1909,38902.322417157455
1910,41732.14061486429
1911,42482.37148588424
1912,45952.737678730926
1913,46430.95501756821
1914,41622.45773898419
1915,41841.8234907444
1916,40637.50551358079
1917,37344.82557965989
1918,44191.23069209637
1919,45816.73091263961
1920,49151.090339394956
1921,50408.056096981025
1922,54439.99861433388
1923,60437.45826745831
1924,65151.62827278544
1925,64879.61474060278
1926,68007.77036070352
1927,72831.62324191077
1928,77341.78309810089
1929,80906.47656420448
1930,77558.95519234352
1931,72175.71964414771
1932,69784.6329499613
1933,73064.15093877661
1934,78831.27655255281
1935,82259.96325256505
1936,82944.38439805692
1937,88955.00599628697
1938,89229.21318598726
1939,92644.7379408939
1940,94147.3933404514
1941,99067.76715243314
1942,100160.20859619902
1943,99477.98110822473
1944,110683.18370813678
1945,107129.4585296212
1946,116695.99896388443
1947,129675.87049553664
1948,136781.12719505018
1949,135006.45826331002
1950,136645.12042895888
1951,141957.13729197675
1952,134812.3298696138
1953,141957.13729197675
1954,147817.36297975425
1955,158258.6604308701
1956,162655.18664923977
1957,171080.95726609064
1958,181522.25471720647
1959,169798.184801554
1960,183170.49973158294
1961,196175.53284172338
1962,193061.77908789043
1963,188482.51659460086
1964,207897.7934873272
1965,226947.59783021378
1966,228413.10656967032
1967,234457.87780241648
1968,244531.89343364374
1969,265412.6790658267
1970,279700.4846405037
1971,290222.92238394555
1972,296250.7714517579
1973,307346.98647293955
1974,323961.02631505375
1975,322038.872434625
1976,322000.62061610894
1977,342564.16071999964
1978,331525.3234265918
1979,354521.0416577913
1980,359945.62767109094
1981,341046.1144240336
1982,329577.2847863777
1983,343330.7707126928
1984,350103.5245630682
1985,325988.24123279663
1986,348867.8434001621
1987,358180.7400443168
1988,351917.33901634347
1989,327497.09355856467
1990,320579.7780883515
1991,354459.2179879676
1992,389173.5945095937
1993,411107.47195986693
1994,435282.15842706844
1995,423238.3144050104
1996,446076.15992470086
1997,482284.3388121684
1998,501390.8917846038
1999,484283.92779879423
2000,480578.04121097724
2001,460103.37038446066
2002,409152.5914531892
2003,444941.0413549565
2004,485115.19520634523
2005,528055.9425034142
2006,570549.4042207315
2007,621942.5026460907
2008,647176.1597412116
2009,608872.8764128744
2010,670523.6794417984
2011,710781.5972206013
2012,703485.9894589488
2013,720407.1053028151
2014,702306.0459633652
2015,721487.1466380397
2016,706477.8485976619
2017,725330.8485220026
2018,707091.7543906459
