provincia,anio,vab_pb
Buenos Aires,1895,4158.050899658849
CABA,1895,3899.1040454735144
Catamarca,1895,174.23234322067884
Chaco,1895,52.66864775649392
Chubut,1895,12.641585390268819
Córdoba,1895,1210.3320590274939
Corrientes,1895,628.4621249804406
Entre Ríos,1895,1217.191543238434
Formosa,1895,28.082301510636345
Jujuy,1895,141.32601999051508
La Pampa,1895,115.54896819191917
La Rioja,1895,146.64647087710148
Mendoza,1895,611.9664469827248
Misiones,1895,116.32108683641755
Neuquén,1895,25.393871238434645
Río Negro,1895,33.11337812104999
Salta,1895,313.44503755467906
San Juan,1895,468.5510792188985
San Luis,1895,169.80309693343548
Santa Cruz,1895,9.161576043725093
Santa Fe,1895,2344.4623454340026
Santiago del Estero,1895,320.34618359460507
Tierra del Fuego,1895,3.5117424373624786
Tucumán,1895,1184.984637300092
Buenos Aires,1914,9971.400633426663
CABA,1914,9212.451197509487
Catamarca,1914,225.86531464432
Chaco,1914,169.9206521658656
Chubut,1914,106.52110543010797
Córdoba,1914,3049.6994967502533
Corrientes,1914,927.4205535131932
Entre Ríos,1914,1565.7151274024275
Formosa,1914,83.77188424784238
Jujuy,1914,324.77666679260506
La Pampa,1914,559.5655198503894
La Rioja,1914,275.897339741767
Mendoza,1914,1044.9703522782881
Misiones,1914,110.90060014035615
Neuquén,1914,95.91982764241564
Río Negro,1914,187.08335597990174
Salta,1914,409.58153770989327
San Juan,1914,362.51222815495146
San Luis,1914,485.6711504619492
Santa Cruz,1914,96.89641264335495
Santa Fe,1914,4316.417812917698
Santiago del Estero,1914,541.7030854769571
Tierra del Fuego,1914,21.427824209492588
Tucumán,1914,1093.5349250792915
Buenos Aires,1937,19945.81003299823
CABA,1937,24133.354134063702
Catamarca,1937,241.35828961056777
Chaco,1937,963.1431439926013
Chubut,1937,902.7722052029015
Córdoba,1937,6729.740682875151
Corrientes,1937,1321.3812187032615
Entre Ríos,1937,2472.271360465641
Formosa,1937,374.34850847134334
Jujuy,1937,502.6304433239782
La Pampa,1937,996.5804695659481
La Rioja,1937,215.14052775237724
Mendoza,1937,1859.8111502821355
Misiones,1937,481.9313172653573
Neuquén,1937,283.84432443220595
Río Negro,1937,463.80541347504794
Salta,1937,852.5173508808284
San Juan,1937,591.0514925630446
San Luis,1937,430.56550915811533
Santa Cruz,1937,294.6990575701274
Santa Fe,1937,8585.782924697682
Santiago del Estero,1937,825.7871410181334
Tierra del Fuego,1937,61.06037732469939
Tucumán,1937,1829.0265063955405
Buenos Aires,1946,26974.656921217345
CABA,1946,33716.15775598938
Catamarca,1946,382.13589922478894
Chaco,1946,1491.3482596213219
Chubut,1946,1071.0241192826618
Córdoba,1946,6514.573391302316
Corrientes,1946,1645.8126832155874
Entre Ríos,1946,2881.749761524703
Formosa,1946,469.73889810608983
Jujuy,1946,722.1757539308294
La Pampa,1946,1066.8125188387903
La Rioja,1946,313.5922296708181
Mendoza,1946,3649.7024413872014
Misiones,1946,943.1532791111595
Neuquén,1946,403.392569128301
Río Negro,1946,776.292003074365
Salta,1946,1068.4508639218855
San Juan,1946,1372.620456833401
San Luis,1946,484.14786439688123
Santa Cruz,1946,449.29444731192467
Santa Fe,1946,9147.854181645649
Santiago del Estero,1946,1136.4158819756276
Tierra del Fuego,1946,80.10231295262837
Tucumán,1946,2225.0995637841947
Buenos Aires,1953,36854.09987425189
CABA,1953,36460.193665843064
Catamarca,1953,425.01185041155344
Chaco,1953,2242.5278674411143
Chubut,1953,1190.120082960888
Córdoba,1953,7936.861063562628
Corrientes,1953,1658.528743593828
Entre Ríos,1953,3618.6436457566047
Formosa,1953,610.3837637514949
Jujuy,1953,1056.7522272007677
La Pampa,1953,1208.6840847990227
La Rioja,1953,356.0437252054459
Mendoza,1953,4719.517338036526
Misiones,1953,1033.8463665667014
Neuquén,1953,440.3850809678037
Río Negro,1953,1186.800191823255
Salta,1953,1384.76760410653
San Juan,1953,1453.0658278703945
San Luis,1953,625.7606156822307
Santa Cruz,1953,597.3951884263922
Santa Fe,1953,10583.274105497456
Santiago del Estero,1953,1408.2549340094274
Tierra del Fuego,1953,121.8025375567967
Tucumán,1953,3105.920452186345
Buenos Aires,1965,70339.39329625506
CABA,1965,48483.636116317146
Catamarca,1965,573.3016381713679
Chaco,1965,3262.8808747619187
Chubut,1965,1762.4556940340885
Córdoba,1965,15006.270982290182
Corrientes,1965,2386.348508600349
Entre Ríos,1965,4439.294537216861
Formosa,1965,726.6771708637573
Jujuy,1965,1302.6969936186479
La Pampa,1965,1973.0100164416222
La Rioja,1965,426.90668658509
Mendoza,1965,7447.885505391372
Misiones,1965,1612.5028757386171
Neuquén,1965,744.2770627089585
Río Negro,1965,1917.7450495554654
Salta,1965,2427.450675415269
San Juan,1965,2384.15593741352
San Luis,1965,1039.6383154268387
Santa Cruz,1965,1808.515463607564
Santa Fe,1965,17049.256778277104
Santiago del Estero,1965,1425.1882454856093
Tierra del Fuego,1965,233.671603996498
Tucumán,1965,2911.4691633668763
Buenos Aires,1975,85571.83693972671
CABA,1975,76072.16116604477
Catamarca,1975,1205.2083087268088
Chaco,1975,3258.1701628591263
Chubut,1975,4149.264295429615
Córdoba,1975,17977.873174356988
Corrientes,1975,3547.480057374322
Entre Ríos,1975,6641.41035429471
Formosa,1975,1590.9258530140369
Jujuy,1975,3003.8585859014784
La Pampa,1975,1731.7751892112278
La Rioja,1975,1096.1751844896237
Mendoza,1975,12251.799895138844
Misiones,1975,4290.268542704649
Neuquén,1975,3025.669471672342
Río Negro,1975,3734.5255425157075
Salta,1975,3747.675818701678
San Juan,1975,2833.724195767668
San Luis,1975,1252.5689108318566
Santa Cruz,1975,1874.2532977215133
Santa Fe,1975,22431.037564346014
Santiago del Estero,1975,2989.5513668516037
Tierra del Fuego,1975,580.2654270560304
Tucumán,1975,8262.755415462037
Buenos Aires,1986,112645.43452581855
CABA,1986,70321.36256695434
Catamarca,1986,1272.9735383384884
Chaco,1986,2755.570715933152
Chubut,1986,4956.747113854924
Córdoba,1986,21108.46812001349
Corrientes,1986,3173.402595647606
Entre Ríos,1986,5125.840936104419
Formosa,1986,957.4808075438193
Jujuy,1986,2158.9763150980634
La Pampa,1986,3220.550628329171
La Rioja,1986,1593.7462975099975
Mendoza,1986,7891.753198480169
Misiones,1986,4151.936086747606
Neuquén,1986,3030.3607828549457
Río Negro,1986,4641.518464487566
Salta,1986,4477.82390396193
San Juan,1986,2944.5029890679384
San Luis,1986,3256.6082075377412
Santa Cruz,1986,2311.5286995954325
Santa Fe,1986,23388.16407140234
Santiago del Estero,1986,1905.064752336418
Tierra del Fuego,1986,2245.0256504560707
Tucumán,1986,5395.197620040696
Buenos Aires,1993,116632.44469072905
CABA,1993,84203.58202298266
Catamarca,1993,2038.567368724503
Chaco,1993,4597.127287865398
Chubut,1993,4716.378689026496
Córdoba,1993,27708.09879326406
Corrientes,1993,4631.555503020181
Entre Ríos,1993,7896.073833436922
Formosa,1993,2218.9895858346363
Jujuy,1993,3207.8383086831745
La Pampa,1993,3131.8882792965683
La Rioja,1993,1951.7280870171383
Mendoza,1993,13738.161099263232
Misiones,1993,4929.172981999155
Neuquén,1993,6194.576381588447
Río Negro,1993,5247.846714245955
Salta,1993,5171.15452704297
San Juan,1993,4023.509893308999
San Luis,1993,3624.4019803816013
Santa Cruz,1993,3496.919261057389
Santa Fe,1993,26385.780812017336
Santiago del Estero,1993,3404.8212231502416
Tierra del Fuego,1993,2328.0827300415717
Tucumán,1993,7188.564855306197
Buenos Aires,2004,131865.7866368215
Buenos Aires,2005,144250.34568252703
Buenos Aires,2006,154663.03420973106
Buenos Aires,2007,165749.0122048574
Buenos Aires,2008,173648.57423152658
Buenos Aires,2009,162655.453195104
Buenos Aires,2010,182141.7533286692
Buenos Aires,2011,193543.06484922493
Buenos Aires,2012,192585.81621701625
Buenos Aires,2013,196250.0563411221
Buenos Aires,2014,189375.85881384648
Buenos Aires,2015,195355.6805994201
Buenos Aires,2016,191237.57791672673
Buenos Aires,2017,196083.56732278006
Buenos Aires,2018,189744.8065885468
Buenos Aires,2019,184973.87997497365
Buenos Aires,2020,168199.96657046652
Buenos Aires,2021,186754.84682226
Buenos Aires,2022,196496.89785321188
CABA,2004,85706.9389997919
CABA,2005,93499.16666945163
CABA,2006,101686.54756191144
CABA,2007,112151.54846231571
CABA,2008,117275.68799335336
CABA,2009,114096.76303658908
CABA,2010,120865.31286253053
CABA,2011,126846.42674220352
CABA,2012,124964.35229950745
CABA,2013,125059.85257704386
CABA,2014,122488.53542632548
CABA,2015,124268.8093382069
CABA,2016,123225.13403175284
CABA,2017,126001.93901972387
CABA,2018,124104.45999948416
CABA,2019,118261.73454825509
CABA,2020,104115.6088248555
CABA,2021,113539.94785961784
CABA,2022,119159.71215748033
Catamarca,2004,3857.959216246119
Catamarca,2005,4350.934308275254
Catamarca,2006,4585.079122747901
Catamarca,2007,4733.758559423228
Catamarca,2008,4555.430341111449
